messstelle_id,e32,e32num,n32,n32num,genau
218726442,3205XX,320550.0,56429XX,5642950.0,100
218726510,3219XX,321950.0,56422XX,5642250.0,100
218726612,3244XX,324450.0,56382XX,5638250.0,100
218726624,3244XX,324450.0,56382XX,5638250.0,100
218726636,3244XX,324450.0,56382XX,5638250.0,100
218726715,3241XX,324150.0,56380XX,5638050.0,100
218726727,3241XX,324150.0,56380XX,5638050.0,100
218726739,3241XX,324150.0,56380XX,5638050.0,100
218726818,3239XX,323950.0,56434XX,5643450.0,100
218726820,3239XX,323950.0,56434XX,5643450.0,100
218726831,3239XX,323950.0,56434XX,5643450.0,100
218726910,3235XX,323550.0,56448XX,5644850.0,100
218726922,3235XX,323550.0,56448XX,5644850.0,100
218726934,3235XX,323550.0,56448XX,5644850.0,100
218726946,3235XX,323550.0,56448XX,5644850.0,100
218727112,3215XX,321550.0,56444XX,5644450.0,100
218727318,3238XX,323850.0,56428XX,5642850.0,100
218727410,3245XX,324550.0,56415XX,5641550.0,100
218727422,3245XX,324550.0,56415XX,5641550.0,100
218727513,3235XX,323550.0,56405XX,5640550.0,100
218727616,3217XX,321750.0,56443XX,5644350.0,100
218727628,3217XX,321750.0,56443XX,5644350.0,100
218727719,3249XX,324950.0,56407XX,5640750.0,100
218727811,3229XX,322950.0,56434XX,5643450.0,100
218727823,3229XX,322950.0,56434XX,5643450.0,100
218727914,3239XX,323950.0,56426XX,5642650.0,100
218727926,3239XX,323950.0,56426XX,5642650.0,100
218728013,3244XX,324450.0,56398XX,5639850.0,100
218728116,3231XX,323150.0,56427XX,5642750.0,100
218728219,3246XX,324650.0,56426XX,5642650.0,100
218728311,3224XX,322450.0,56439XX,5643950.0,100
218728323,3224XX,322450.0,56439XX,5643950.0,100
218728414,3218XX,321850.0,56427XX,5642750.0,100
218728517,3236XX,323650.0,56502XX,5650250.0,100
218728529,3236XX,323650.0,56502XX,5650250.0,100
218728530,3236XX,323650.0,56502XX,5650250.0,100
218728610,3229XX,322950.0,56436XX,5643650.0,100
218728712,3230XX,323050.0,56438XX,5643850.0,100
218728724,3230XX,323050.0,56438XX,5643850.0,100
218728736,3230XX,323050.0,56438XX,5643850.0,100
218728815,3236XX,323650.0,56502XX,5650250.0,100
218728827,3236XX,323650.0,56502XX,5650250.0,100
218729017,3225XX,322550.0,56435XX,5643550.0,100
218729110,3228XX,322850.0,56438XX,5643850.0,100
218729121,3228XX,322850.0,56438XX,5643850.0,100
218729212,3249XX,324950.0,56374XX,5637450.0,100
218729224,3249XX,324950.0,56374XX,5637450.0,100
218729315,3229XX,322950.0,56443XX,5644350.0,100
218729418,3232XX,323250.0,56442XX,5644250.0,100
218729613,3226XX,322650.0,56448XX,5644850.0,100
218729625,3226XX,322650.0,56448XX,5644850.0,100
218729716,3239XX,323950.0,56434XX,5643450.0,100
218729819,3258XX,325850.0,56372XX,5637250.0,100
218729911,3221XX,322150.0,56451XX,5645150.0,100
218729923,3221XX,322150.0,56451XX,5645150.0,100
218730019,3251XX,325150.0,56406XX,5640650.0,100
218730111,319229,319229.0,5639707,5639707.0,1
218730214,3208XX,320850.0,56378XX,5637850.0,100
218730317,3214XX,321450.0,56371XX,5637150.0,100
218730410,3219XX,321950.0,56366XX,5636650.0,100
218730512,3202XX,320250.0,56384XX,5638450.0,100
218730615,3212XX,321250.0,56439XX,5643950.0,100
218730627,3212XX,321250.0,56439XX,5643950.0,100
218730718,3226XX,322650.0,56425XX,5642550.0,100
218730720,3226XX,322650.0,56425XX,5642550.0,100
218730810,3208XX,320850.0,56433XX,5643350.0,100
218730822,3208XX,320850.0,56433XX,5643350.0,100
218730913,3233XX,323350.0,56414XX,5641450.0,100
218730925,3233XX,323350.0,56414XX,5641450.0,100
218731012,3244XX,324450.0,56402XX,5640250.0,100
218731115,3233XX,323350.0,56429XX,5642950.0,100
218731127,3233XX,323350.0,56429XX,5642950.0,100
218731218,3223XX,322350.0,56419XX,5641950.0,100
218731220,3223XX,322350.0,56419XX,5641950.0,100
218731231,3223XX,322350.0,56419XX,5641950.0,100
218731243,3223XX,322350.0,56419XX,5641950.0,100
218731310,3234XX,323450.0,56442XX,5644250.0,100
218731322,3234XX,323450.0,56442XX,5644250.0,100
218731413,3224XX,322450.0,56441XX,5644150.0,100
218731425,3224XX,322450.0,56441XX,5644150.0,100
218731619,3243XX,324350.0,56419XX,5641950.0,100
218731620,3243XX,324350.0,56419XX,5641950.0,100
218731814,3234XX,323450.0,56439XX,5643950.0,100
218731826,3234XX,323450.0,56439XX,5643950.0,100
218731917,3229XX,322950.0,56446XX,5644650.0,100
218732016,3215XX,321550.0,56422XX,5642250.0,100
218732028,3215XX,321550.0,56422XX,5642250.0,100
218732119,3222XX,322250.0,56414XX,5641450.0,100
218732120,3222XX,322250.0,56414XX,5641450.0,100
218732132,3222XX,322250.0,56414XX,5641450.0,100
218732211,3232XX,323250.0,56412XX,5641250.0,100
218732314,3245XX,324550.0,56425XX,5642550.0,100
218732326,3245XX,324550.0,56425XX,5642550.0,100
218732417,3265XX,326550.0,56407XX,5640750.0,100
218732429,3265XX,326550.0,56407XX,5640750.0,100
218732430,3265XX,326550.0,56407XX,5640750.0,100
218732510,3232XX,323250.0,56424XX,5642450.0,100
218732521,3232XX,323250.0,56424XX,5642450.0,100
218732612,3244XX,324450.0,56412XX,5641250.0,100
218732624,3244XX,324450.0,56412XX,5641250.0,100
218732715,3210XX,321050.0,56439XX,5643950.0,100
218732727,3210XX,321050.0,56439XX,5643950.0,100
218732739,3210XX,321050.0,56439XX,5643950.0,100
218732818,3239XX,323950.0,56439XX,5643950.0,100
218732820,3239XX,323950.0,56439XX,5643950.0,100
218732831,3239XX,323950.0,56439XX,5643950.0,100
218732910,3245XX,324550.0,56448XX,5644850.0,100
218732922,3245XX,324550.0,56448XX,5644850.0,100
218732934,3245XX,324550.0,56448XX,5644850.0,100
218733010,3207XX,320750.0,56430XX,5643050.0,100
218733215,3237XX,323750.0,56406XX,5640650.0,100
218733227,3237XX,323750.0,56406XX,5640650.0,100
218733318,3207XX,320750.0,56431XX,5643150.0,100
218733320,3207XX,320750.0,56431XX,5643150.0,100
218733410,3236XX,323650.0,56406XX,5640650.0,100
218733422,3236XX,323650.0,56406XX,5640650.0,100
218733513,3231XX,323150.0,56447XX,5644750.0,100
218733525,3231XX,323150.0,56447XX,5644750.0,100
218733616,3235XX,323550.0,56437XX,5643750.0,100
218733811,3236XX,323650.0,56425XX,5642550.0,100
218733914,3234XX,323450.0,56430XX,5643050.0,100
218734013,3237XX,323750.0,56431XX,5643150.0,100
218734025,3237XX,323750.0,56431XX,5643150.0,100
218734116,3227XX,322750.0,56453XX,5645350.0,100
218734128,3227XX,322750.0,56453XX,5645350.0,100
218734219,3194XX,319450.0,56418XX,5641850.0,100
218734220,3194XX,319450.0,56418XX,5641850.0,100
218734232,3194XX,319450.0,56418XX,5641850.0,100
218734244,3194XX,319450.0,56418XX,5641850.0,100
218734256,3194XX,319450.0,56418XX,5641850.0,100
218734414,3205XX,320550.0,56348XX,5634850.0,100
